"id","squareMeters","rooms1","rooms2","rooms3","centreDistance","schoolDistance","clinicDistance","postOfficeDistance","kindergartenDistance","restaurantDistance","collegeDistance","pharmacyDistance","ownership","buildingMaterial","condition","hasParkingSpace","hasBalcony","hasElevator","hasSecurity","hasStorageRoom","price","first_floor","top_floor","age","block","apartmentB","tenement","stolica"
"a01d82c9529f98a54d64b9e061c9a73b",105,0,1,0,5060,1080,949,623,791,1054,3062,335,"1","1","1","0","1","1","0","0",1199999,0,0,8,0,1,0,0
"027b30cebbc49faf3094421b741ddd56",45.5,1,0,0,1650,250,624,510,177,232,986,273,"1","0","0","0","0","0","0","1",363000,0,1,64,1,0,0,0
"27437e173a8c37d5002c0bf69c848b7c",80.61,0,1,0,1760,83,257,294,151,102,256,301,"1","1","1","0","0","0","0","1",717000,0,1,104,0,0,1,0
"39404087c054348c27522c74ca21a973",70.3,0,1,0,3350,269,1364,247,122,388,1589,194,"0","0","1","0","1","1","0","1",689000,0,0,36,1,0,0,0
"7a3b00507c086fcf83562f22bb5d01fc",67.37,0,1,0,1610,501,973,713,67,52,988,215,"1","1","1","1","1","1","0","0",790000,0,0,6,0,1,0,0
"24af7cc54099d7930535543827604a9d",68.94,0,1,0,2290,371,592,213,222,240,583,721,"1","1","0","0","1","0","0","1",560000,0,0,74,1,0,0,0
"7ebe2d0eeb6231486f90c5835c695cd7",56,1,0,0,4270,509,81,126,381,227,1685,186,"1","1","1","0","0","0","0","1",590000,0,1,94,1,0,0,0
"209a6d2dea99216bdf83a968343cd3b3",61.48,1,0,0,8160,149,1680,534,1294,1527,3720,1521,"1","1","1","0","0","0","0","1",390000,0,0,124,0,0,1,0
"bac1869ad9c2c1ef444b0ba6d225761a",77.71,0,1,0,1220,568,994,346,374,70,675,430,"1","1","0","0","0","0","0","1",599000,0,1,99,0,0,1,0
"0eb9e4df5696c9bf7c849706372fbe18",63,0,1,0,1550,252,635,212,229,53,268,24,"1","1","1","0","0","1","0","0",729000,0,0,5,0,1,0,0
"14f7d02e2662dc6935732e81bd40944f",59.2,0,1,0,5580,653,2011,555,211,383,2694,360,"1","1","1","1","0","0","0","1",679000,0,0,18,0,1,0,0
"4a629a1a01c7bedac13e9bcf98212d8a",81.5,0,1,0,1980,158,554,233,379,143,547,184,"1","1","0","0","0","0","0","1",435000,0,0,104,0,0,1,0
"76affd52069119ac305ee74b21b4aed7",56.58,1,0,0,5010,650,1122,248,316,221,2711,258,"1","1","1","1","1","1","0","0",580000,0,0,5,1,0,0,0
"312f2788e54076b94f950baaeced3e54",91,0,1,0,5140,183,230,329,1119,343,1027,182,"1","1","1","0","0","0","0","1",512000,0,0,92,1,0,0,0
"402d6b0ff1c84434185b93f9d16115a4",26.79,1,0,0,970,249,252,325,507,305,1073,288,"1","1","1","0","0","1","0","0",430000,0,1,94,0,0,1,0
"4777aa53b2049176132d4a8175b985b9",81.64,0,1,0,2550,91,597,625,247,222,1441,26,"1","1","0","0","1","0","0","1",465000,1,0,124,0,0,1,0
